05/12 17:33:36:086	Task: Left touchX: 999 touchY: 301
05/12 17:33:36:093	Task: Left touchX: 996 touchY: 300
05/12 17:33:36:106	Task: Left touchX: 990 touchY: 299
05/12 17:33:36:114	Task: Left touchX: 982 touchY: 297
05/12 17:33:36:127	Task: Left touchX: 971 touchY: 295
05/12 17:33:36:135	Task: Left touchX: 957 touchY: 291
05/12 17:33:36:147	Task: Left touchX: 938 touchY: 288
05/12 17:33:36:153	Task: Left touchX: 913 touchY: 285
05/12 17:33:36:166	Task: Left touchX: 879 touchY: 281
05/12 17:33:36:173	Task: Left touchX: 834 touchY: 279
05/12 17:33:36:187	Task: Left touchX: 834 touchY: 279
05/12 17:33:39:627	Task: Down touchX: 943 touchY: 266
05/12 17:33:39:633	Task: Down touchX: 937 touchY: 264
05/12 17:33:39:652	Task: Down touchX: 934 touchY: 261
05/12 17:33:39:665	Task: Down touchX: 927 touchY: 257
05/12 17:33:39:672	Task: Down touchX: 921 touchY: 253
05/12 17:33:39:684	Task: Down touchX: 914 touchY: 247
05/12 17:33:39:692	Task: Down touchX: 907 touchY: 242
05/12 17:33:39:705	Task: Down touchX: 901 touchY: 237
05/12 17:33:39:712	Task: Down touchX: 895 touchY: 231
05/12 17:33:39:725	Task: Down touchX: 889 touchY: 225
05/12 17:33:39:734	Task: Down touchX: 883 touchY: 218
05/12 17:33:39:746	Task: Down touchX: 878 touchY: 211
05/12 17:33:39:751	Task: Down touchX: 871 touchY: 203
05/12 17:33:39:766	Task: Down touchX: 855 touchY: 191
05/12 17:33:39:774	Task: Down touchX: 855 touchY: 191
05/12 17:35:31:362	Task: left touchX: 789 touchY: 266
05/12 17:35:31:374	Task: left touchX: 777 touchY: 267
05/12 17:35:31:378	Task: left touchX: 761 touchY: 269
05/12 17:35:31:382	Task: left touchX: 742 touchY: 271
05/12 17:35:31:389	Task: left touchX: 720 touchY: 275
05/12 17:35:31:402	Task: left touchX: 697 touchY: 279
05/12 17:35:31:411	Task: left touchX: 673 touchY: 284
05/12 17:35:31:423	Task: left touchX: 649 touchY: 289
05/12 17:35:31:430	Task: left touchX: 626 touchY: 294
05/12 17:35:31:444	Task: left touchX: 603 touchY: 299
05/12 17:35:31:448	Task: left touchX: 579 touchY: 305
05/12 17:35:31:489	Task: left touchX: 579 touchY: 305
05/12 17:35:35:894	Task: down touchX: 1079 touchY: 267
05/12 17:35:35:898	Task: down touchX: 1078 touchY: 266
05/12 17:35:35:916	Task: down touchX: 1078 touchY: 266
05/12 17:35:35:935	Task: down touchX: 1076 touchY: 269
05/12 17:35:35:947	Task: down touchX: 1076 touchY: 273
05/12 17:35:35:955	Task: down touchX: 1076 touchY: 280
05/12 17:35:35:968	Task: down touchX: 1077 touchY: 289
05/12 17:35:35:976	Task: down touchX: 1077 touchY: 300
05/12 17:35:35:988	Task: down touchX: 1078 touchY: 315
05/12 17:35:35:996	Task: down touchX: 1079 touchY: 335
05/12 17:35:36:001	Task: down touchX: 1078 touchY: 358
05/12 17:35:36:022	Task: down touchX: 1078 touchY: 358
05/12 17:35:38:893	Task: up touchX: 978 touchY: 304
05/12 17:35:38:897	Task: up touchX: 975 touchY: 297
05/12 17:35:38:908	Task: up touchX: 975 touchY: 297
05/12 17:35:38:917	Task: up touchX: 974 touchY: 291
05/12 17:35:38:933	Task: up touchX: 972 touchY: 280
05/12 17:35:38:933	Task: up touchX: 971 touchY: 267
05/12 17:35:38:948	Task: up touchX: 970 touchY: 251
05/12 17:35:38:954	Task: up touchX: 970 touchY: 233
05/12 17:35:38:968	Task: up touchX: 970 touchY: 214
05/12 17:35:38:975	Task: up touchX: 971 touchY: 195
05/12 17:35:38:988	Task: up touchX: 972 touchY: 174
05/12 17:35:38:996	Task: up touchX: 973 touchY: 155
05/12 17:35:39:008	Task: up touchX: 975 touchY: 137
05/12 17:35:39:016	Task: up touchX: 975 touchY: 121
05/12 17:35:39:030	Task: up touchX: 975 touchY: 121
05/12 17:35:40:740	Task: left touchX: 1048 touchY: 228
05/12 17:35:40:748	Task: left touchX: 1045 touchY: 224
05/12 17:35:40:767	Task: left touchX: 1043 touchY: 225
05/12 17:35:40:782	Task: left touchX: 1039 touchY: 223
05/12 17:35:40:786	Task: left touchX: 1033 touchY: 220
05/12 17:35:40:799	Task: left touchX: 1027 touchY: 219
05/12 17:35:40:806	Task: left touchX: 1017 touchY: 216
05/12 17:35:40:820	Task: left touchX: 1007 touchY: 215
05/12 17:35:40:829	Task: left touchX: 991 touchY: 213
05/12 17:35:40:841	Task: left touchX: 971 touchY: 214
05/12 17:35:40:851	Task: left touchX: 944 touchY: 216
05/12 17:35:40:869	Task: left touchX: 905 touchY: 222
05/12 17:35:40:881	Task: left touchX: 852 touchY: 232
05/12 17:35:40:906	Task: left touchX: 852 touchY: 232
05/12 17:35:42:385	Task: up touchX: 976 touchY: 266
05/12 17:35:42:389	Task: up touchX: 975 touchY: 266
05/12 17:35:42:424	Task: up touchX: 974 touchY: 263
05/12 17:35:42:431	Task: up touchX: 973 touchY: 259
05/12 17:35:42:442	Task: up touchX: 972 touchY: 253
05/12 17:35:42:452	Task: up touchX: 971 touchY: 247
05/12 17:35:42:463	Task: up touchX: 969 touchY: 237
